recipe_id,recipe_name,recipe_slug,category,meal_type,image_url,generated_at
"cmifeoi0t01wxkgebdc7iccd1","Chickpea Curry","chickpea-curry","Vegetarian & Plant-Based","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoi0t01wxkgebdc7iccd1.jpg","2025-11-26T03:56:08.857Z"
"cmifeoulu03g8kgeb1rjc4nkv","Chocolate Avocado Mousse","chocolate-avocado-mousse","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoulu03g8kgeb1rjc4nkv.jpg","2025-11-26T03:56:20.493Z"
"cmifeo3tw00d2kgebiqw0mdcj","Chocolate Cherry Recovery Smoothie","chocolate-cherry-recovery-smoothie","Smoothies & Bowls","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo3tw00d2kgebiqw0mdcj.jpg","2025-11-26T03:56:31.930Z"
"cmifeovjg03k8kgebazhie0si","Cinnamon Turmeric Coffee","cinnamon-turmeric-coffee","Beverages","BEVERAGE","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeovjg03k8kgebazhie0si.jpg","2025-11-26T04:10:38.059Z"
"cmifeo60a00lmkgebgo5j7z9p","Classic Greek Salad","classic-greek-salad","Salads","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo60a00lmkgebgo5j7z9p.jpg","2025-11-26T04:10:50.584Z"
"cmifeoe2x01gtkgebmtoboenx","Coconut Curry Shrimp","coconut-curry-shrimp","Seafood","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoe2x01gtkgebmtoboenx.jpg","2025-11-26T04:11:01.808Z"
"cmifeouqj03h3kgeb9rvp7soz","Coconut Date Rolls","coconut-date-rolls","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeouqj03h3kgeb9rvp7soz.jpg","2025-11-26T04:11:13.058Z"
"cmifeohuv01wdkgebx9gq293u","Coconut-Crusted Chicken Tenders","coconut-chicken-tenders","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeohuv01wdkgebx9gq293u.jpg","2025-11-26T04:27:24.326Z"
"cmifeorpq033fkgebcewkjqco","Cottage Cheese with Fruit","cottage-cheese-with-fruit","Quick Grab Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeorpq033fkgebcewkjqco.jpg","2025-11-26T04:27:37.723Z"
"cmifeo5ff00jskgebprmzxwt4","Cottage Cheese with Peaches","cottage-cheese-with-peaches","Quick & Simple","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo5ff00jskgebprmzxwt4.jpg","2025-11-26T04:27:48.950Z"
"cmifeos5r0355kgebustobhh1","Crispy Roasted Chickpeas","roasted-chickpeas","Quick Grab Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeos5r0355kgebustobhh1.jpg","2025-11-26T04:28:00.474Z"
"cmifeofq001n9kgeb0qvptyvk","Crispy Salmon Patties","canned-salmon-patties","Seafood","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeofq001n9kgeb0qvptyvk.jpg","2025-11-26T04:44:11.537Z"
"cmifeoil101zrkgeb6utpcdvk","Crispy Tofu Stir-Fry","crispy-tofu-stir-fry","Vegetarian & Plant-Based","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoil101zrkgeb6utpcdvk.jpg","2025-11-26T04:44:23.250Z"
"cmifeorl3032ykgebirjjr0i8","Cucumber Cream Cheese Bites","cucumber-cream-cheese-bites","Quick Grab Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeorl3032ykgebirjjr0i8.jpg","2025-11-26T04:44:35.987Z"
"cmifeovc503jckgebpvpis2gh","Cucumber Mint Infused Water","cucumber-mint-water","Beverages","BEVERAGE","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeovc503jckgebpvpis2gh.jpg","2025-11-26T04:44:48.394Z"
"cmifeots903c6kgebe1na29op","Dark Chocolate & Almonds","dark-chocolate-almonds","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeots903c6kgebe1na29op.jpg","2025-11-26T04:44:59.514Z"
"cmifeoxdg03shkgebwkhte2pl","Deviled Eggs with Greek Yogurt","deviled-eggs","Protein Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoxdg03shkgebwkhte2pl.jpg","2025-11-26T05:00:34.695Z"
